,Nochchiyagama,Medawachchiya,Medirigiriya,Dambulla,Chilaw,Walipennagahamula,Wellawa,Polpithigama,Maho,Galgamuwa,Alawwa,Narammala,Ibbagamuwa,Katupotha,Pothuhera,Polpitigama,Ikiriyagolla,Anuradapura,Aralaganwila,Thirappane,Dewahuwa,Kumbukgate,Kithalawa,Polgahawela,Siyambalagaskotuwa,Minuwangate,Rambawa,Kurunagala,Kiribathkumbura
Nochchiyagama,0.0,53.5289,117.14569999999999,76.1327,102.9948,132.69879999999998,103.9614,70.8661,62.8791,39.612,131.9956,111.311,116.6007,98.50760000000001,113.18939999999999,71.1478,131.9508,31.3265,157.3869,45.4115,73.6527,87.7496,116.8822,123.2267,103.262,73.9666,72.0033,103.8198,145.03320000000002
Medawachchiya,53.5289,0.0,109.70739999999999,79.4945,157.0729,169.4899,140.767,95.8095,96.4586,73.19160000000001,163.2395,144.8905,123.1707,132.0871,144.4334,96.0912,156.1096,25.077900000000003,149.9486,37.9732,87.935,125.6694,150.4617,154.47070000000002,136.8415,107.54610000000001,96.94669999999999,135.9846,163.02329999999998
Medirigiriya,117.14569999999999,109.70739999999999,0.0,57.749,187.2679,169.93689999999998,119.0216,102.7374,113.42410000000001,106.7332,141.4941,132.9629,101.42530000000001,140.3003,122.688,103.01910000000001,134.3642,92.30789999999999,60.8041,71.743,72.32730000000001,103.924,145.5504,132.72529999999998,142.6954,145.6764,103.8745,114.23910000000001,141.27779999999998
Dambulla,76.1327,79.4945,57.749,0.0,129.6105,112.2795,61.3642,45.08,61.1097,68.9922,83.8367,75.3055,43.767900000000004,82.6429,65.03059999999999,45.361599999999996,76.7068,62.071400000000004,98.0133,41.5064,14.6699,46.2666,87.893,75.0678,85.0379,88.019,46.2171,56.5817,83.62039999999999
Chilaw,102.9948,157.0729,187.2679,129.6105,0.0,29.787200000000002,70.619,85.3567,72.5989,84.4105,71.657,54.5425,85.477,50.2905,70.8155,90.79960000000001,86.12180000000001,134.9071,227.1504,135.5966,124.5179,73.6034,41.6952,72.5522,57.2586,62.906800000000004,84.83160000000001,70.47739999999999,119.86439999999999
Walipennagahamula,132.69879999999998,169.4899,169.93689999999998,112.2795,29.787200000000002,0.0,65.1516,85.6519,78.2614,96.3595,48.8106,37.231199999999994,68.16560000000001,42.7585,53.5042,86.503,68.8105,147.3408,209.8391,153.33229999999998,107.20660000000001,73.8985,24.3839,55.2409,39.947300000000006,63.202,85.1267,58.076699999999995,102.5531
Wellawa,103.9614,140.767,119.0216,61.3642,70.619,65.1516,0.0,30.022,46.333,64.4311,37.0724,28.5413,17.614,35.878699999999995,18.266299999999998,30.873099999999997,35.5117,123.3455,159.2874,102.7806,56.654900000000005,18.2686,41.128800000000005,28.3036,38.2737,31.2736,29.4968,9.8175,48.5941
Polpithigama,70.8661,95.8095,102.7374,45.08,85.3567,85.6519,30.022,0.0,17.8918,32.1926,67.09939999999999,58.5683,31.5688,48.284,48.2933,0.8541,65.53869999999999,82.3043,143.0043,57.817699999999995,30.026400000000002,16.8835,66.6586,58.3306,53.0384,34.209300000000006,1.1372,39.8445,78.62110000000001
Maho,62.8791,96.4586,113.42410000000001,61.1097,72.5989,78.2614,46.333,17.8918,0.0,23.328200000000002,74.3465,53.662,45.8613,40.8585,55.5404,18.2007,74.3017,74.3094,153.6093,69.3664,46.0835,31.176,59.2331,65.5777,45.613,16.3176,19.0562,46.1708,87.3841
Galgamuwa,39.612,73.19160000000001,106.7332,68.9922,84.4105,96.3595,64.4311,32.1926,23.328200000000002,0.0,92.3835,71.6989,76.9887,58.8955,73.5774,32.5302,92.3387,51.1061,147.0122,51.7956,59.717,49.132,77.2701,83.6147,63.6499,34.3545,33.3857,64.2077,105.42110000000001
Alawwa,131.9956,163.2395,141.4941,83.8367,71.657,48.8106,37.0724,67.09939999999999,74.3465,92.3835,0.0,17.1128,41.721599999999995,29.9034,18.8287,67.964,28.0656,147.4532,183.395,126.8882,80.7626,56.459,29.9473,8.8165,27.092200000000002,59.2239,66.5877,30.015900000000002,47.6517
Narammala,111.311,144.8905,132.9629,75.3055,54.5425,37.231199999999994,28.5413,58.5683,53.662,71.6989,17.1128,0.0,31.1762,13.0241,16.5148,59.0354,31.821099999999998,122.98039999999999,172.8497,116.3429,70.21719999999999,45.913599999999995,13.0679,18.2515,10.2128,38.8416,57.659099999999995,21.0873,59.6087
Ibbagamuwa,116.6007,123.1707,101.42530000000001,43.767900000000004,85.477,68.16560000000001,17.614,31.5688,45.8613,76.9887,41.721599999999995,31.1762,0.0,38.8927,21.2803,32.440799999999996,32.9566,105.7493,141.6911,85.18430000000001,39.0586,14.7374,44.1428,31.3176,41.287699999999994,44.268699999999995,31.0645,12.8315,46.039
Katupotha,98.50760000000001,132.0871,140.3003,82.6429,50.2905,42.7585,35.878699999999995,48.284,40.8585,58.8955,29.9034,13.0241,38.8927,0.0,29.076400000000003,49.1186,44.3827,109.9563,180.2103,123.7035,77.5778,36.5141,18.374599999999997,30.8131,4.7543999999999995,25.8175,47.7423,25.7559,66.9693
Pothuhera,113.18939999999999,144.4334,122.688,65.03059999999999,70.8155,53.5042,18.266299999999998,48.2933,55.5404,73.5774,18.8287,16.5148,21.2803,29.076400000000003,0.0,49.1578,21.948400000000003,128.647,164.5889,108.08210000000001,61.9564,37.652800000000006,29.132900000000003,10.059899999999999,26.2778,40.417699999999996,47.7815,11.209700000000002,49.6644
Polpitigama,71.1478,96.0912,103.01910000000001,45.361599999999996,90.79960000000001,86.503,30.873099999999997,0.8541,18.2007,32.5302,67.964,59.0354,32.440799999999996,49.1186,49.1578,0.0,66.38980000000001,82.586,143.286,58.0994,30.3081,17.734599999999997,67.5097,59.1817,53.8896,34.491,1.9883,40.6956,79.4722
Ikiriyagolla,131.9508,156.1096,134.3642,76.7068,86.12180000000001,68.8105,35.5117,65.53869999999999,74.3017,92.3387,28.0656,31.821099999999998,32.9566,44.3827,21.948400000000003,66.38980000000001,0.0,138.68810000000002,174.63,118.1232,71.9975,47.694,44.4392,19.325400000000002,41.5841,59.2475,65.0404,29.7841,27.2424
Anuradapura,31.3265,25.077900000000003,92.30789999999999,62.071400000000004,134.9071,147.3408,123.3455,82.3043,74.3094,51.1061,147.4532,122.98039999999999,105.7493,109.9563,128.647,82.586,138.68810000000002,0.0,132.5579,20.5825,70.5443,99.10310000000001,128.2357,137.08,114.6155,85.32010000000001,83.3568,118.59389999999999,145.6326
Aralaganwila,157.3869,149.9486,60.8041,98.0133,227.1504,209.8391,159.2874,143.0043,153.6093,147.0122,183.395,172.8497,141.6911,180.2103,164.5889,143.286,174.63,132.5579,0.0,111.9441,112.52839999999999,144.1251,185.7515,172.9263,182.8964,185.8775,144.0756,154.4402,148.0674
